Fecha de retiro;Proyecto;Año;Cod. Vintage;Cod. COLCERs retirados;Propósito del retiro;Usuario final;Sujeto pasivo;COLCERs retirados
2025-07-31 15:18:03;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-711152-711305;Compensación voluntaria;900.209.807-0 - SLA COL S A S;900.209.807-0 - SLA COL S A S;154
2025-07-31 15:11:07;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-711132-711151;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;20
2025-07-31 15:10:59;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-711108-711131;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;24
2025-07-31 15:10:50;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-710836-711107;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;272
2025-07-31 11:24:15;Carbono Sombrilla Abejorral;2014;COLCX-14-0001-2014;COLCX-14-0001-2014-7052-7143;Compensación voluntaria;900.648.775-6 - TRANSPORTE SURANDINO DE LIQUIDOS DE COLOMBIA S.A.S;900.648.775-6 - TRANSPORTE SURANDINO DE LIQUIDOS DE COLOMBIA S.A.S;92
2025-07-29 15:52:41;Proyecto Forestal CO2Cero Caribe;2015;COLCX-14-0006-2015;COLCX-14-0006-2015-24815-24910;Compensación voluntaria;900.648.775-6 - TRANSPORTE SURANDINO DE LIQUIDOS DE COLOMBIA S.A.S;900.648.775-6 - TRANSPORTE SURANDINO DE LIQUIDOS DE COLOMBIA S.A.S;96
2025-07-29 9:23:32;Carbono La Tabaca - AGI;2017;COLCX-14-0020-2017;COLCX-14-0020-2017-1137-1137;Compensación voluntaria;900.341.222-6 - CENTRO COMERCIAL Y EMPRESARIAL SAN SILVESTRE;900.341.222-6 - CENTRO COMERCIAL Y EMPRESARIAL SAN SILVESTRE;1
2025-07-29 9:23:20;Carbono La Tabaca - AGI;2017;COLCX-14-0020-2017;COLCX-14-0020-2017-1133-1136;Compensación voluntaria;804.001.890-1 - UNIVERSIDAD DE SANTANDER;804.001.890-1 - UNIVERSIDAD DE SANTANDER;4
2025-07-29 9:23:11;Carbono La Tabaca - AGI;2017;COLCX-14-0020-2017;COLCX-14-0020-2017-1131-1132;Compensación voluntaria;890.201.892-5 - CAMARA REGIONAL DE LA CONSTRUCCION DE SANTANDER;890.201.892-5 - CAMARA REGIONAL DE LA CONSTRUCCION DE SANTANDER;2
2025-07-28 17:20:15;Proyecto Forestal CO2Cero Caribe;2018;COLCX-14-0006-2018;COLCX-14-0006-2018-26918-26987;Compensación voluntaria;800.178.052-1 - ZONA FRANCA DE LA CANDELARIA S.A. USUARIO OPERADOR;800.178.052-1 - ZONA FRANCA DE LA CANDELARIA S.A. USUARIO OPERADOR;70
