"Fecha Retiro","Iniciativa","Cod. Serial","Vintage Inicial","Vintage Final","Año absorción","Cod. Seriales Entregados","Destinación","Usuario Final","Nit Usuario Final","Sujeto Pasivo","Nit Sujeto Pasivo","TCO2e Entregadas"
"31/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-40803-41002","Impuesto al Carbono","COORDINADORA SA","890904713-2","ORGANIZACIÓN TERPEL SA","830095213-0 ","200"
"31/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-39811-40802","Impuesto al Carbono","COORDINADORA SA","890904713-2","PRIMAX COLOMBIA SA","860002554-8","992"
"31/07/2025","Generación de electricidad a partir de biomasa forestal para la Zona No Interconectada de Puerto Carreño – Vichada","COLCX-01-0036-2022","9/1/2021","10/31/2023","2022","COLCX-01-0036-2022-0001-2155","Impuesto al Carbono","H L COMBUSTIBLES S.A.S.","900207854-8","ORGANIZACIÓN TERPEL SA","830095213-0 ","2155"
"31/07/2025","Generación de electricidad a partir de biomasa forestal para la Zona No Interconectada de Puerto Carreño – Vichada","COLCX-01-0036-2021","9/1/2021","10/31/2023","2021","COLCX-01-0036-2021-001-761","Impuesto al Carbono","H L COMBUSTIBLES S.A.S.","900207854-8","ORGANIZACIÓN TERPEL SA","830095213-0 ","761"
"31/07/2025","Proyecto forestal núcleo Vichada - Meta Co2cero","COLCX-14-0010-2022","6/1/2008","1/19/2023","2022","COLCX-14-0010-2022-161351-162314","Impuesto al Carbono","INVERSIONES PARQUE OLAYA SAS","901561156-5","ORGANIZACIÓN TERPEL SA","830095213-0 ","964"
"31/07/2025","Proyecto forestal núcleo Vichada - Meta Co2cero","COLCX-14-0010-2022","6/1/2008","1/19/2023","2022","COLCX-14-0010-2022-161035-161350","Impuesto al Carbono","INVERSIONES SIDERENSE SAS","811003004-5","ORGANIZACIÓN TERPEL SA","830095213-0 ","316"
"31/07/2025","CARBONO REFOSINÚ","COLCX-14-0019-2021","8/29/2019","2/10/2024","2021","COLCX-14-0019-2021-1870-2069","Compensacion voluntaria","GENERAL SERVICES INTERNATIONAL GROUP S.A.S","900873436-8","GENERAL SERVICES INTERNATIONAL GROUP S.A.S","900873436-8","200"
"29/07/2025","CARBONO REFOSINÚ","COLCX-14-0019-2021","8/29/2019","2/10/2024","2021","COLCX-14-0019-2021-1790-1869","Compensacion voluntaria","UNION TEMPORAL DE CARGA DEL MAGDALENA MEDIO 2","901743262-1","UNION TEMPORAL DE CARGA DEL MAGDALENA MEDIO 2","901743262-1","80"
"29/07/2025","Proyecto Forestal Caquetá Renace","COLCX-14-0038-2018","9/15/2012","9/10/2022","2018","COLCX-14-0038-2018-2783-2832","Compensacion voluntaria","IMBOCAR SAS","	800185379-1","IMBOCAR SAS","	800185379-1","50"
"29/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-292543-292742","Compensacion voluntaria","ESTRELLA INTERNATIONAL ENERGY SERVICES SUCURSAL COLOMBIA","860515770-4","ESTRELLA INTERNATIONAL ENERGY SERVICES SUCURSAL COLOMBIA","860515770-4","200"
"29/07/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2020","1/1/2019","12/31/2023","2020","COLCX-14-0032-2020-225440-225571","Impuesto al Carbono","COLTANQUES SAS","860040576-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","132"
"29/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2021","10/1/2018","10/1/2022","2021","COLCX-14-0035-2021-13-16","Compensacion voluntaria","Caja de Compensación Familiar de Antioquia COMFAMA","890900841-9","Caja de Compensación Familiar de Antioquia COMFAMA","890900841-9","4"
"29/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2021","10/1/2018","10/1/2022","2021","COLCX-14-0035-2021-01-12","Compensacion voluntaria","Caja de Compensación Familiar de Antioquia COMFAMA","890900841-9","Caja de Compensación Familiar de Antioquia COMFAMA","890900841-9","12"
"23/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-39781-39810","Compensacion voluntaria","METALPAR S.A.S.","800141734-4","METALPAR S.A.S.","800141734-4","30"
"23/07/2025","Proyecto forestal núcleo Vichada - Meta Co2cero","COLCX-14-0010-2022","6/1/2008","1/19/2023","2022","COLCX-14-0010-2022-160827-161034","Compensacion voluntaria","VETIPLUS S.A.","830026664-4","VETIPLUS S.A.","830026664-4","208"
"23/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-39768-39780","Compensacion voluntaria","PRUEBAS ELECTRICAS ESPECIALES SAS","900926548-3","PRUEBAS ELECTRICAS ESPECIALES SAS","900926548-3","13"
"23/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2021","8/29/2019","12/12/2022","2021","COLCX-01-0028-2021-9216-9216","Compensacion voluntaria","PRUEBAS ELECTRICAS ESPECIALES SAS","900926548-3","PRUEBAS ELECTRICAS ESPECIALES SAS","900926548-3","1"
"22/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2022","10/1/2018","10/1/2022","2022","COLCX-14-0035-2022-001-320","Compensacion voluntaria","AGUAS DE MANIZALES S.A E.S.P - BIC","810000598-0","AGUAS DE MANIZALES S.A E.S.P - BIC","810000598-0","320"
"22/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2020","10/1/2018","10/1/2022","2020","COLCX-14-0035-2020-25794-27922","Impuesto al Carbono","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","2129"
"22/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2020","10/1/2018","10/1/2022","2020","COLCX-14-0035-2020-25142-25793","Impuesto al Carbono","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","652"
"22/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2020","10/1/2018","10/1/2022","2020","COLCX-14-0035-2020-24540-25141","Impuesto al Carbono","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","602"
"22/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2020","10/1/2018","10/1/2022","2020","COLCX-14-0035-2020-24158-24539","Impuesto al Carbono","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","382"
"22/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2020","10/1/2018","10/1/2022","2020","COLCX-14-0035-2020-09994-24157","Impuesto al Carbono","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","14164"
"22/07/2025","Proyecto REDD+ Cuenca Alto Baudo","COLCX-14-0035-2020","10/1/2018","10/1/2022","2020","COLCX-14-0035-2020-0001-9993","Impuesto al Carbono","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","PETROBRAS COLOMBIA COMBUSTIBLES SA","900047822-5","9993"
"18/07/2025","PROYECTO FORESTAL CO2CERO CAUCHO PL UNO","COLCX-14-0011-2020","5/12/2008","6/17/2022","2020","COLCX-14-0011-2020-107219-107718","Compensacion voluntaria","TUSCANY SOUTH AMERICA LTD. SUCURSAL COLOMBIA","900279810-2","TUSCANY SOUTH AMERICA LTD. SUCURSAL COLOMBIA","900279810-2","500"
"18/07/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2019","1/1/2019","12/31/2023","2019","COLCX-14-0032-2019-316630-316676","Compensacion voluntaria","KOBALT SAS","900606858-9","KOBALT SAS","900606858-9","47"
"18/07/2025","KÚVAY MACÄRÖ VIDI REDD+ CARURÚ","COLCX-14-0032-2019","1/1/2019","12/31/2023","2019","COLCX-14-0032-2019-316530-316629","Compensacion voluntaria","KOBALT SAS","900606858-9","KOBALT SAS","900606858-9","100"
"18/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-38675-39767","Impuesto al Carbono","COMBUSTIBLES Y TRANSPORTES HERNANDEZ","830118785-2","COMBUSTIBLES Y TRANSPORTES HERNANDEZ","830118785-2","1093"
"16/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-38315-38674","Impuesto al Carbono","GBUSES","900358864-9","PETROLEOS DEL MILENIO SAS","819001667-8","360"
"16/07/2025","PROGRAMA DE INCENTIVOS FOTOVOLTAICOS DE COLOMBIA","COLCX-01-0028-2023","8/29/2019","4/30/2024","2023","COLCX-01-0028-2023-37403-38314","Impuesto al Carbono","GMOVIL SAS","900364704-3","PETROLEOS DEL MILENIO SAS","819001667-8","912"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-70503-71834","Impuesto al Carbono"," CETER ( COOPERATIVA  MULTIACTIVA Y DE  TRANSPORTE DE  SANTANDER ) - EDS LA  PAZ ","890207572-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","1332"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-69089-70502","Impuesto al Carbono","CAMVA SAS - EDS  INGENIO","900792854-5","ORGANIZACIÓN TERPEL SA","830095213-0 ","1414"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-66877-69088","Impuesto al Carbono","AYALA  DISTRIBUCCIONES SAS -  EDS TERPEL DAGOTA","900911074-9","ORGANIZACIÓN TERPEL SA","830095213-0 ","2212"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-65134-66876","Impuesto al Carbono","DISIL SERVICES SAS -  EDS TERPEL COGUA","901310017-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","1743"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-64206-65133","Impuesto al Carbono","AF KAIZEN SOCIETY SAS  - EDS TERPEL MENGA","901109396-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","928"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-63138-64205","Impuesto al Carbono","COLOMBIA COLORS  SAS - EDS TERPEL LAS  PALMAS","900860583-6","ORGANIZACIÓN TERPEL SA","830095213-0 ","1068"
